cnt,exercises,samples,ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, MAG X, MAG Y, MAG Z
153,1,1,-922,-132,-345,-4,-27,0,-306,306,469
154,1,1,-923,-132,-349,-6,-24,0,-300,309,462
156,1,1,-923,-131,-347,-4,-35,0,-304,315,468
157,1,1,-922,-131,-344,-5,-28,0,-304,309,463
159,1,1,-923,-131,-343,-4,-28,0,-300,309,456
160,1,1,-923,-132,-345,-4,-26,0,-307,306,468
162,1,1,-922,-136,-350,-5,-60,27,-304,307,460
163,1,1,-951,-134,-393,4,-174,59,-315,310,459
165,1,1,-925,-122,-289,-10,-150,51,-313,300,447
166,1,1,-949,-114,-291,0,-112,42,-306,316,438
168,1,1,-944,-119,-289,-11,29,-16,-306,307,439
169,1,1,-936,-125,-307,30,21,-48,-304,315,445
171,1,1,-933,-126,-302,2,54,-23,-304,306,453
173,1,1,-946,-135,-347,19,-113,-26,-309,304,457
174,1,1,-931,-133,-303,28,-135,-18,-301,306,450
176,1,1,-964,-124,-302,15,-100,-9,-307,304,439
177,1,1,-952,-138,-310,35,-150,-23,-301,304,438
179,1,1,-958,-141,-288,42,-19,-25,-306,315,447
180,1,1,-970,-158,-332,65,-28,-37,-298,309,441
182,1,1,-932,-154,-275,85,-119,-61,-297,316,438
183,1,1,-982,-191,-257,90,-151,-23,-300,321,426
185,1,1,-966,-179,-186,51,-14,-98,-300,307,435
186,1,1,-979,-186,-197,49,-8,-101,-295,312,432
188,1,1,-944,-187,-190,16,-31,-116,-291,321,433
189,1,1,-929,-210,-208,6,-12,-115,-289,324,448
191,1,1,-892,-234,-232,-4,-46,-79,-283,325,439
192,1,1,-892,-246,-256,-4,-39,-64,-280,319,445
194,1,1,-888,-248,-261,4,-25,-50,-276,324,448
195,1,1,-886,-266,-274,18,-38,-24,-268,322,445
197,1,1,-914,-265,-260,15,-13,1,-270,322,438
198,1,1,-969,-284,-235,18,-44,-10,-265,330,451
200,1,1,-932,-257,-241,8,-65,-23,-267,331,451
201,1,1,-970,-291,-217,11,-63,-34,-277,325,444
203,1,1,-887,-257,-242,-18,0,-49,-262,331,447
204,1,1,-932,-297,-262,-2,-15,-30,-267,321,454
206,1,1,-840,-295,-262,18,-77,-12,-262,325,442
207,1,1,-852,-289,-268,20,-42,0,-253,333,450
209,1,1,-839,-274,-186,6,-36,39,-264,321,454
210,1,1,-850,-266,-217,3,-60,75,-267,325,442
212,1,1,-874,-249,-178,-23,-44,87,-276,316,441
214,1,1,-939,-261,-223,-30,-2,100,-276,334,438
215,1,1,-903,-235,-216,-32,-71,127,-274,327,448
217,1,1,-804,-207,-243,-14,-23,151,-285,325,442
218,1,1,-951,-208,-186,-31,2,147,-291,315,433
220,1,1,-961,-183,-232,-2,-74,168,-304,321,433
221,1,1,-987,-157,-201,-13,-30,145,-307,319,429
223,1,1,-1018,-149,-196,-16,-39,107,-309,315,426
224,1,1,-1036,-137,-193,-13,-107,107,-313,310,427
226,1,1,-911,-122,-228,-9,-4,-21,-316,324,430
227,1,1,-954,-128,-214,-10,-33,2,-316,316,433
229,1,1,-1035,-128,-253,-31,-83,57,-307,318,421
230,1,1,-1080,-140,-269,-23,-78,9,-316,313,421
231,1,1,-959,-127,-187,-23,-78,31,-318,313,421
309,1,2,-950,-132,-256,-2,-32,0,-307,306,445
310,1,2,-950,-130,-259,-3,-26,0,-309,316,438
311,1,2,-954,-129,-263,-2,-32,0,-307,324,439
312,1,2,-951,-132,-253,2,-65,4,-313,307,444
314,1,2,-962,-131,-271,4,-53,3,-303,307,436
315,1,2,-967,-124,-239,7,-138,22,-304,315,433
316,1,2,-969,-146,-233,2,-161,16,-310,316,435
317,1,2,-932,-122,-225,23,-155,-4,-310,319,429
319,1,2,-1003,-132,-236,-23,30,-2,-321,315,430
320,1,2,-963,-131,-250,-7,9,-24,-312,316,432
321,1,2,-973,-131,-259,5,-57,0,-310,315,426
322,1,2,-1009,-145,-228,18,-95,7,-310,313,429
324,1,2,-987,-133,-177,11,-45,-3,-306,321,417
325,1,2,-968,-130,-202,9,-12,-56,-313,316,436
326,1,2,-966,-136,-193,0,-17,-37,-304,325,421
327,1,2,-971,-142,-196,5,-73,-19,-316,321,429
329,1,2,-997,-159,-240,-2,-36,-58,-307,318,418
330,1,2,-1005,-173,-241,15,-20,-59,-304,327,423
331,1,2,-1010,-177,-245,28,-33,-86,-303,315,426
332,1,2,-963,-174,-244,42,-38,-114,-313,319,430
334,1,2,-965,-188,-194,46,-41,-123,-306,315,436
335,1,2,-926,-178,-187,40,-51,-113,-297,319,427
336,1,2,-953,-204,-153,37,-59,-77,-292,321,433
337,1,2,-910,-196,-143,10,-10,-112,-285,321,430
339,1,2,-930,-228,-172,-18,42,-75,-286,319,433
340,1,2,-887,-225,-232,-10,16,-55,-280,321,438
341,1,2,-946,-259,-191,-9,-25,-26,-283,325,442
342,1,2,-921,-252,-204,-14,7,-70,-286,322,438
344,1,2,-968,-256,-218,-11,-2,-45,-273,331,444
345,1,2,-924,-257,-228,-3,-41,-44,-274,325,447
346,1,2,-890,-254,-234,6,-44,-21,-271,322,444
347,1,2,-947,-277,-207,4,-22,-28,-277,322,445
349,1,2,-896,-259,-204,-3,-37,-1,-277,322,442
350,1,2,-907,-258,-199,-14,-8,-9,-274,331,439
351,1,2,-887,-263,-193,-7,-48,26,-271,325,450
352,1,2,-900,-248,-186,-22,-16,35,-277,319,436
354,1,2,-918,-250,-194,-22,-107,70,-277,319,444
355,1,2,-930,-253,-212,-28,-82,68,-280,325,438
