cnt,exercise,ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, MAG X, MAG Y, MAG Z, raw
152,1,                -923,-133,-346,                -5,-26,0,                -307,304,469,                bytearray(b'\xfb9e\xfc{\xff\xa6\xfe\xfb\xff\xe6\xff\x00\x00\xcd\xfe0\x01\xd5\x01'),
153,1,                -922,-132,-345,                -4,-27,0,                -306,306,469,                bytearray(b'\x01:f\xfc|\xff\xa7\xfe\xfc\xff\xe5\xff\x00\x00\xce\xfe2\x01\xd5\x01'),
154,1,                -923,-132,-349,                -6,-24,0,                -300,309,462,                bytearray(b'\x07:e\xfc|\xff\xa3\xfe\xfa\xff\xe8\xff\x00\x00\xd4\xfe5\x01\xce\x01'),
155,1,                -923,-132,-345,                -5,-29,1,                -306,306,463,                bytearray(b'\r:e\xfc|\xff\xa7\xfe\xfb\xff\xe3\xff\x01\x00\xce\xfe2\x01\xcf\x01'),
156,1,                -923,-131,-347,                -4,-35,0,                -304,315,468,                bytearray(b'\x14:e\xfc}\xff\xa5\xfe\xfc\xff\xdd\xff\x00\x00\xd0\xfe;\x01\xd4\x01'),
157,1,                -922,-131,-344,                -5,-28,0,                -304,309,463,                bytearray(b'\x1a:f\xfc}\xff\xa8\xfe\xfb\xff\xe4\xff\x00\x00\xd0\xfe5\x01\xcf\x01'),
158,1,                -923,-132,-347,                -4,-25,0,                -307,301,471,                bytearray(b' :e\xfc|\xff\xa5\xfe\xfc\xff\xe7\xff\x00\x00\xcd\xfe-\x01\xd7\x01'),
159,1,                -923,-131,-343,                -4,-28,0,                -300,309,456,                bytearray(b'&:e\xfc}\xff\xa9\xfe\xfc\xff\xe4\xff\x00\x00\xd4\xfe5\x01\xc8\x01'),
160,1,                -923,-132,-345,                -4,-26,0,                -307,306,468,                bytearray(b'-:e\xfc|\xff\xa7\xfe\xfc\xff\xe6\xff\x00\x00\xcd\xfe2\x01\xd4\x01'),
161,1,                -919,-135,-353,                -2,-37,7,                -306,303,468,                bytearray(b'3:i\xfcy\xff\x9f\xfe\xfe\xff\xdb\xff\x07\x00\xce\xfe/\x01\xd4\x01'),
162,1,                -922,-136,-350,                -5,-60,27,                -304,307,460,                bytearray(b'9:f\xfcx\xff\xa2\xfe\xfb\xff\xc4\xff\x1b\x00\xd0\xfe3\x01\xcc\x01'),
163,1,                -951,-134,-393,                4,-174,59,                -315,310,459,                bytearray(b'?:I\xfcz\xffw\xfe\x04\x00R\xff;\x00\xc5\xfe6\x01\xcb\x01'),
164,1,                -920,-104,-286,                4,-250,63,                -316,310,453,                bytearray(b'F:h\xfc\x98\xff\xe2\xfe\x04\x00\x06\xff?\x00\xc4\xfe6\x01\xc5\x01'),
165,1,                -925,-122,-289,                -10,-150,51,                -313,300,447,                bytearray(b'L:c\xfc\x86\xff\xdf\xfe\xf6\xffj\xff3\x00\xc7\xfe,\x01\xbf\x01'),
166,1,                -949,-114,-291,                0,-112,42,                -306,316,438,                bytearray(b'R:K\xfc\x8e\xff\xdd\xfe\x00\x00\x90\xff*\x00\xce\xfe<\x01\xb6\x01'),
167,1,                -950,-97,-281,                -16,-37,8,                -324,316,438,                bytearray(b'X:J\xfc\x9f\xff\xe7\xfe\xf0\xff\xdb\xff\x08\x00\xbc\xfe<\x01\xb6\x01'),
168,1,                -944,-119,-289,                -11,29,-16,                -306,307,439,                bytearray(b'_:P\xfc\x89\xff\xdf\xfe\xf5\xff\x1d\x00\xf0\xff\xce\xfe3\x01\xb7\x01'),
169,1,                -936,-125,-307,                30,21,-48,                -304,315,445,                bytearray(b'e:X\xfc\x83\xff\xcd\xfe\x1e\x00\x15\x00\xd0\xff\xd0\xfe;\x01\xbd\x01'),
170,1,                -935,-113,-290,                35,14,-46,                -310,310,441,                bytearray(b'k:Y\xfc\x8f\xff\xde\xfe#\x00\x0e\x00\xd2\xff\xca\xfe6\x01\xb9\x01'),
171,1,                -933,-126,-302,                2,54,-23,                -304,306,453,                bytearray(b'q:[\xfc\x82\xff\xd2\xfe\x02\x006\x00\xe9\xff\xd0\xfe2\x01\xc5\x01'),
172,1,                -966,-119,-336,                -16,56,-28,                -304,307,456,                bytearray(b'x::\xfc\x89\xff\xb0\xfe\xf0\xff8\x00\xe4\xff\xd0\xfe3\x01\xc8\x01'),
173,1,                -946,-135,-347,                19,-113,-26,                -309,304,457,                bytearray(b'~:N\xfcy\xff\xa5\xfe\x13\x00\x8f\xff\xe6\xff\xcb\xfe0\x01\xc9\x01'),
174,1,                -931,-133,-303,                28,-135,-18,                -301,306,450,                bytearray(b'\x84:]\xfc{\xff\xd1\xfe\x1c\x00y\xff\xee\xff\xd3\xfe2\x01\xc2\x01'),
175,1,                -961,-137,-297,                20,-109,-9,                -304,310,454,                bytearray(b'\x8a:?\xfcw\xff\xd7\xfe\x14\x00\x93\xff\xf7\xff\xd0\xfe6\x01\xc6\x01'),
176,1,                -964,-124,-302,                15,-100,-9,                -307,304,439,                bytearray(b'\x91:<\xfc\x84\xff\xd2\xfe\x0f\x00\x9c\xff\xf7\xff\xcd\xfe0\x01\xb7\x01'),
177,1,                -952,-138,-310,                35,-150,-23,                -301,304,438,                bytearray(b'\x97:H\xfcv\xff\xca\xfe#\x00j\xff\xe9\xff\xd3\xfe0\x01\xb6\x01'),
