cnt, time stamp, exercise, sample,                 ACC X, ACC Y, ACC Z,                 GYR X, GYR Y, GYR Z,                 MAG X, MAG Y, MAG Z,                 raw
186, 9701, 1, 1,                 385, 399, 839,                -3, -25, 0,                -85, -123, 40,                bytearray(b'\xe5%\x81\x01\x8f\x01G\x03\xfd\xff\xe7\xff\x00\x00\xab\xff\x85\xff(\x00')
187, 9707, 1, 1,                 390, 409, 845,                -4, -25, 0,                -90, -129, 42,                bytearray(b'\xeb%\x86\x01\x99\x01M\x03\xfc\xff\xe7\xff\x00\x00\xa6\xff\x7f\xff*\x00')
188, 9713, 1, 1,                 380, 400, 840,                -2, -25, 0,                -91, -136, 46,                bytearray(b'\xf1%|\x01\x90\x01H\x03\xfe\xff\xe7\xff\x00\x00\xa5\xffx\xff.\x00')
189, 9719, 1, 1,                 387, 404, 838,                -4, -25, 0,                -85, -129, 40,                bytearray(b'\xf7%\x83\x01\x94\x01F\x03\xfc\xff\xe7\xff\x00\x00\xab\xff\x7f\xff(\x00')
190, 9726, 1, 1,                 386, 404, 840,                -4, -25, 0,                -84, -127, 36,                bytearray(b'\xfe%\x82\x01\x94\x01H\x03\xfc\xff\xe7\xff\x00\x00\xac\xff\x81\xff$\x00')
191, 9732, 1, 1,                 383, 400, 839,                -3, -25, 0,                -90, -124, 45,                bytearray(b'\x04&\x7f\x01\x90\x01G\x03\xfd\xff\xe7\xff\x00\x00\xa6\xff\x84\xff-\x00')
192, 9738, 1, 1,                 385, 404, 841,                -4, -25, 0,                -91, -129, 43,                bytearray(b'\n&\x81\x01\x94\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa5\xff\x7f\xff+\x00')
193, 9744, 1, 1,                 384, 406, 841,                -3, -25, 0,                -93, -126, 40,                bytearray(b'\x10&\x80\x01\x96\x01I\x03\xfd\xff\xe7\xff\x00\x00\xa3\xff\x82\xff(\x00')
194, 9751, 1, 1,                 387, 403, 841,                -4, -25, 0,                -85, -127, 37,                bytearray(b'\x17&\x83\x01\x93\x01I\x03\xfc\xff\xe7\xff\x00\x00\xab\xff\x81\xff%\x00')
195, 9757, 1, 1,                 387, 403, 841,                -4, -25, 0,                -93, -135, 45,                bytearray(b'\x1d&\x83\x01\x93\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa3\xffy\xff-\x00')
196, 9763, 1, 1,                 382, 404, 842,                -4, -24, 0,                -90, -129, 40,                bytearray(b'#&~\x01\x94\x01J\x03\xfc\xff\xe8\xff\x00\x00\xa6\xff\x7f\xff(\x00')
197, 9769, 1, 1,                 382, 404, 842,                -5, -25, 0,                -96, -124, 36,                bytearray(b')&~\x01\x94\x01J\x03\xfb\xff\xe7\xff\x00\x00\xa0\xff\x84\xff$\x00')
198, 9776, 1, 1,                 387, 402, 839,                -4, -25, 0,                -85, -129, 46,                bytearray(b'0&\x83\x01\x92\x01G\x03\xfc\xff\xe7\xff\x00\x00\xab\xff\x7f\xff.\x00')
199, 9782, 1, 1,                 387, 404, 840,                -5, -25, 0,                -88, -123, 49,                bytearray(b'6&\x83\x01\x94\x01H\x03\xfb\xff\xe7\xff\x00\x00\xa8\xff\x85\xff1\x00')
