cnt, time stamp, exercise, sample,         ACC X, ACC Y, ACC Z,         GYR X, GYR Y, GYR Z,         MAG X, MAG Y, MAG Z,         raw
168, 23769, 1, 1,                 383, 402, 843,                -5, -24, 0,                -79, -126, 39,                bytearray(b"\xd9\\\x7f\x01\x92\x01K\x03\xfb\xff\xe8\xff\x00\x00\xb1\xff\x82\xff\'\x00")
169, 23775, 1, 1,                 389, 405, 841,                -4, -25, 0,                -91, -124, 30,                bytearray(b'\xdf\\\x85\x01\x95\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa5\xff\x84\xff\x1e\x00')
170, 23781, 1, 1,                 383, 402, 841,                -4, -25, 0,                -97, -130, 45,                bytearray(b'\xe5\\\x7f\x01\x92\x01I\x03\xfc\xff\xe7\xff\x00\x00\x9f\xff~\xff-\x00')
171, 23788, 1, 1,                 381, 401, 841,                -4, -26, 0,                -84, -127, 39,                bytearray(b"\xec\\}\x01\x91\x01I\x03\xfc\xff\xe6\xff\x00\x00\xac\xff\x81\xff\'\x00")
172, 23794, 1, 1,                 386, 405, 840,                -3, -26, 0,                -90, -136, 34,                bytearray(b'\xf2\\\x82\x01\x95\x01H\x03\xfd\xff\xe6\xff\x00\x00\xa6\xffx\xff"\x00')
173, 23800, 1, 1,                 389, 405, 840,                -4, -25, 0,                -93, -129, 36,                bytearray(b'\xf8\\\x85\x01\x95\x01H\x03\xfc\xff\xe7\xff\x00\x00\xa3\xff\x7f\xff$\x00')
174, 23806, 1, 1,                 387, 403, 841,                -4, -25, 0,                -91, -126, 42,                bytearray(b'\xfe\\\x83\x01\x93\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa5\xff\x82\xff*\x00')
175, 23813, 1, 1,                 386, 403, 842,                -4, -25, 0,                -87, -129, 45,                bytearray(b'\x05]\x82\x01\x93\x01J\x03\xfc\xff\xe7\xff\x00\x00\xa9\xff\x7f\xff-\x00')
176, 23819, 1, 1,                 380, 404, 843,                -4, -25, 0,                -88, -114, 46,                bytearray(b'\x0b]|\x01\x94\x01K\x03\xfc\xff\xe7\xff\x00\x00\xa8\xff\x8e\xff.\x00')
177, 23825, 1, 1,                 384, 405, 842,                -3, -26, 0,                -93, -126, 45,                bytearray(b'\x11]\x80\x01\x95\x01J\x03\xfd\xff\xe6\xff\x00\x00\xa3\xff\x82\xff-\x00')
