cnt, time stamp, exercise, sample, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, MAG X, MAG Y, MAG Z, raw
46, -30377, 2, 1,                 391, 411, 842,                -4, -25, -1,                -90, -135, 40,                bytearray(b'W\x89\x87\x01\x9b\x01J\x03\xfc\xff\xe7\xff\xff\xff\xa6\xffy\xff(\x00')
47, -30370, 2, 1,                 386, 407, 840,                -4, -25, 0,                -79, -118, 45,                bytearray(b'^\x89\x82\x01\x97\x01H\x03\xfc\xff\xe7\xff\x00\x00\xb1\xff\x8a\xff-\x00')
48, -30364, 2, 1,                 384, 403, 842,                -5, -25, 0,                -81, -123, 37,                bytearray(b'd\x89\x80\x01\x93\x01J\x03\xfb\xff\xe7\xff\x00\x00\xaf\xff\x85\xff%\x00')
49, -30358, 2, 1,                 385, 404, 841,                -4, -25, 0,                -90, -123, 51,                bytearray(b'j\x89\x81\x01\x94\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa6\xff\x85\xff3\x00')
50, -30352, 2, 1,                 385, 405, 840,                -4, -25, 0,                -91, -132, 33,                bytearray(b'p\x89\x81\x01\x95\x01H\x03\xfc\xff\xe7\xff\x00\x00\xa5\xff|\xff!\x00')
51, -30345, 2, 1,                 384, 402, 839,                -4, -25, 0,                -88, -124, 52,                bytearray(b'w\x89\x80\x01\x92\x01G\x03\xfc\xff\xe7\xff\x00\x00\xa8\xff\x84\xff4\x00')
52, -30339, 2, 1,                 386, 403, 841,                -4, -25, 0,                -84, -132, 36,                bytearray(b'}\x89\x82\x01\x93\x01I\x03\xfc\xff\xe7\xff\x00\x00\xac\xff|\xff$\x00')
53, -30333, 2, 1,                 381, 403, 841,                -4, -25, 0,                -78, -117, 42,                bytearray(b'\x83\x89}\x01\x93\x01I\x03\xfc\xff\xe7\xff\x00\x00\xb2\xff\x8b\xff*\x00')
54, -30327, 2, 1,                 385, 404, 841,                -4, -25, 0,                -88, -124, 37,                bytearray(b'\x89\x89\x81\x01\x94\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa8\xff\x84\xff%\x00')
55, -30320, 2, 1,                 388, 404, 839,                -4, -25, 0,                -87, -124, 45,                bytearray(b'\x90\x89\x84\x01\x94\x01G\x03\xfc\xff\xe7\xff\x00\x00\xa9\xff\x84\xff-\x00')
56, -30314, 2, 1,                 386, 405, 840,                -4, -25, 0,                -81, -130, 37,                bytearray(b'\x96\x89\x82\x01\x95\x01H\x03\xfc\xff\xe7\xff\x00\x00\xaf\xff~\xff%\x00')
57, -30308, 2, 1,                 384, 403, 841,                -4, -25, 0,                -88, -133, 42,                bytearray(b'\x9c\x89\x80\x01\x93\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa8\xff{\xff*\x00')
58, -30302, 2, 1,                 384, 403, 842,                -3, -25, 0,                -97, -126, 46,                bytearray(b'\xa2\x89\x80\x01\x93\x01J\x03\xfd\xff\xe7\xff\x00\x00\x9f\xff\x82\xff.\x00')
59, -30295, 2, 1,                 387, 403, 839,                -4, -25, 0,                -88, -130, 34,                bytearray(b'\xa9\x89\x83\x01\x93\x01G\x03\xfc\xff\xe7\xff\x00\x00\xa8\xff~\xff"\x00')
60, -30289, 2, 1,                 385, 402, 839,                -4, -25, 0,                -82, -133, 43,                bytearray(b'\xaf\x89\x81\x01\x92\x01G\x03\xfc\xff\xe7\xff\x00\x00\xae\xff{\xff+\x00')
61, -30283, 2, 1,                 384, 404, 840,                -4, -25, 0,                -79, -132, 43,                bytearray(b'\xb5\x89\x80\x01\x94\x01H\x03\xfc\xff\xe7\xff\x00\x00\xb1\xff|\xff+\x00')
