cnt, time stamp, exercise, sample, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, MAG X, MAG Y, MAG Z, raw
80, 22221, 1, 2,                 384, 401, 844,                -5, -24, 0,                -91, -117, 36,                bytearray(b'\xcdV\x80\x01\x91\x01L\x03\xfb\xff\xe8\xff\x00\x00\xa5\xff\x8b\xff$\x00')
81, 22227, 1, 2,                 378, 390, 839,                -4, -23, 0,                -93, -117, 40,                bytearray(b'\xd3Vz\x01\x86\x01G\x03\xfc\xff\xe9\xff\x00\x00\xa3\xff\x8b\xff(\x00')
82, 22233, 1, 2,                 384, 412, 845,                -3, -25, 0,                -94, -115, 33,                bytearray(b'\xd9V\x80\x01\x9c\x01M\x03\xfd\xff\xe7\xff\x00\x00\xa2\xff\x8d\xff!\x00')
83, 22239, 1, 2,                 386, 405, 843,                -5, -25, 0,                -90, -109, 36,                bytearray(b'\xdfV\x82\x01\x95\x01K\x03\xfb\xff\xe7\xff\x00\x00\xa6\xff\x93\xff$\x00')
84, 22246, 1, 2,                 387, 399, 845,                -4, -25, 0,                -93, -118, 40,                bytearray(b'\xe6V\x83\x01\x8f\x01M\x03\xfc\xff\xe7\xff\x00\x00\xa3\xff\x8a\xff(\x00')
85, 22252, 1, 2,                 385, 402, 843,                -4, -25, 0,                -90, -114, 45,                bytearray(b'\xecV\x81\x01\x92\x01K\x03\xfc\xff\xe7\xff\x00\x00\xa6\xff\x8e\xff-\x00')
86, 22258, 1, 2,                 380, 403, 841,                -3, -25, 0,                -79, -112, 34,                bytearray(b'\xf2V|\x01\x93\x01I\x03\xfd\xff\xe7\xff\x00\x00\xb1\xff\x90\xff"\x00')
87, 22264, 1, 2,                 383, 401, 843,                -3, -25, 1,                -90, -108, 39,                bytearray(b"\xf8V\x7f\x01\x91\x01K\x03\xfd\xff\xe7\xff\x01\x00\xa6\xff\x94\xff\'\x00")
88, 22271, 1, 2,                 387, 400, 841,                -4, -25, 0,                -96, -115, 37,                bytearray(b'\xffV\x83\x01\x90\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa0\xff\x8d\xff%\x00')
89, 22277, 1, 2,                 383, 402, 843,                -4, -25, 0,                -94, -106, 31,                bytearray(b'\x05W\x7f\x01\x92\x01K\x03\xfc\xff\xe7\xff\x00\x00\xa2\xff\x96\xff\x1f\x00')
90, 22283, 1, 2,                 381, 403, 843,                -4, -25, 0,                -85, -114, 37,                bytearray(b'\x0bW}\x01\x93\x01K\x03\xfc\xff\xe7\xff\x00\x00\xab\xff\x8e\xff%\x00')
91, 22289, 1, 2,                 384, 401, 843,                -4, -25, 0,                -96, -112, 39,                bytearray(b"\x11W\x80\x01\x91\x01K\x03\xfc\xff\xe7\xff\x00\x00\xa0\xff\x90\xff\'\x00")
