timestamp,ACC X,ACC Y,ACC Z,GYR X,GYR Y,GYR Z,MAG X,MAG Y,MAG Z
-25422,960,-145,-268,29,72,9,-99,-459,682
-25416,969,-147,-247,25,55,5,-99,-463,678
-25410,975,-150,-239,13,18,4,-94,-460,678
-25403,966,-152,-247,1,-17,4,-94,-462,676
-25397,970,-151,-240,-9,-45,1,-93,-466,676
-25391,962,-145,-259,-18,-64,2,-108,-456,681
-25385,956,-148,-272,-14,-49,0,-103,-450,676
-25378,950,-143,-274,5,-7,-2,-97,-460,685
-25372,955,-138,-269,16,31,4,-102,-457,672
-25366,958,-151,-254,24,65,11,-97,-460,678
-25360,976,-153,-226,23,74,3,-93,-457,672
-25353,998,-152,-223,9,31,1,-94,-457,667
-25347,1033,-157,-213,-4,-29,27,-88,-465,670
-25341,1011,-154,-220,-14,-65,60,-100,-459,673
-25335,964,-166,-302,-3,-56,74,-90,-463,670
-25328,927,-160,-240,33,65,65,-88,-465,669
-25322,981,-170,-256,70,128,76,-79,-472,667
-25316,1135,-201,-258,55,-23,163,-79,-472,654
-25310,1050,-208,-235,77,11,264,-70,-462,663
-25303,1164,-265,-224,126,172,351,-49,-468,649
-25297,1014,-269,-186,124,77,385,-42,-460,648
-25291,1043,-300,-189,99,32,364,-28,-462,640
-25285,957,-327,-138,63,-95,333,-7,-451,645
-25278,951,-339,-153,54,-93,297,1,-450,649
-25272,883,-359,-163,49,-119,296,19,-441,642
-25266,734,-370,-105,57,-60,278,28,-430,651
-25260,700,-399,-132,-11,-134,151,33,-433,652
-25253,690,-382,-152,-37,-116,95,36,-424,649
-25247,702,-397,-171,-20,-26,49,40,-426,658
-25241,848,-425,-130,-3,42,40,33,-424,655
-25235,901,-475,-188,-31,19,9,39,-424,651
-25228,990,-462,-174,-67,-112,-30,25,-420,655
-25222,1074,-466,-234,-39,-44,64,30,-411,661
-25216,1078,-460,-244,45,64,194,31,-418,654
-25210,1097,-499,-230,43,-63,233,34,-415,651
-25203,997,-498,-223,23,-159,298,51,-405,654
-25197,903,-494,-269,79,-17,378,70,-406,645
-25191,942,-528,-165,109,-21,422,73,-394,649
-25185,822,-549,-183,95,-88,428,91,-382,651
-25178,704,-571,-96,100,-82,429,105,-367,648
-25172,685,-580,-180,72,-51,371,115,-357,643
-25166,512,-570,-62,65,-86,357,124,-354,649
-25160,525,-624,-199,84,46,283,142,-340,654
-25153,507,-651,-81,16,-121,170,142,-339,648
-25147,474,-697,-119,-3,-76,93,144,-336,649
-25141,459,-652,-117,-7,57,-25,141,-337,646
-25135,498,-646,-125,-63,-73,-149,139,-336,648
-25128,548,-620,-161,-65,-28,-227,133,-348,655
-25122,660,-652,-169,-66,-17,-282,124,-343,649
-25116,790,-661,-212,-62,7,-268,112,-358,651
-25110,776,-641,-217,-84,-19,-280,103,-358,658
-25103,797,-596,-233,-91,-59,-285,93,-370,661
-25097,862,-593,-260,-49,44,-284,100,-373,658
-25091,937,-583,-235,-45,-116,-206,84,-381,658
-25085,939,-598,-278,12,56,-105,73,-387,654
-25078,888,-578,-176,11,-18,-69,82,-379,657
-25072,892,-574,-219,9,0,-67,84,-388,652
-25066,742,-537,-166,1,-16,-49,81,-390,655
-25060,795,-542,-165,3,17,-88,84,-387,660
-25053,777,-535,-149,-27,-58,-88,73,-393,657
-25047,706,-520,-176,-49,-20,-137,75,-390,654
-25041,734,-499,-152,-79,-104,-177,64,-394,661
-25035,695,-470,-190,-81,-13,-206,60,-387,663
-25028,700,-442,-211,-89,-44,-283,51,-400,660
-25022,719,-386,-200,-135,-86,-384,33,-405,664
-25016,822,-361,-260,-123,-66,-456,22,-414,670
-25010,901,-347,-246,-140,-88,-464,3,-418,673
-25003,980,-316,-296,-119,-11,-443,-12,-423,678
-24997,1065,-302,-331,-121,-87,-417,-28,-424,681
-24991,1064,-279,-308,-91,-93,-343,-37,-439,684
-24985,1080,-260,-353,-79,-89,-312,-51,-432,681
-24978,1008,-215,-309,-48,-62,-272,-73,-435,688
-24972,1070,-220,-334,-35,-46,-247,-66,-447,687
-24966,1038,-185,-268,-42,-105,-190,-75,-441,682
