timestamp,ACC X,ACC Y,ACC Z,GYR X,GYR Y,GYR Z,MAG X,MAG Y,MAG Z
-21639,1014,-31,130,9,11,20,-118,-553,520
-21633,1047,-30,160,17,3,8,-120,-552,511
-21627,1013,-20,133,-9,-84,22,-120,-556,514
-21621,1060,-43,153,-23,-93,32,-123,-553,516
-21614,994,-42,100,-24,-25,30,-118,-546,516
-21608,1001,-67,132,-39,-21,33,-115,-555,520
-21602,1004,-50,120,-43,-35,-54,-115,-553,528
-21596,1067,-19,127,-34,-112,-56,-129,-552,528
-21589,1097,-31,111,-40,-91,27,-121,-547,523
-21583,1139,-40,110,-40,-22,117,-117,-553,535
-21577,1130,-45,89,-42,-6,201,-115,-549,525
-21571,1019,-72,121,-52,-4,249,-108,-543,523
-21564,997,-87,129,-39,-33,262,-102,-538,525
-21558,956,-110,98,-44,-16,250,-97,-540,531
-21552,954,-155,83,-71,24,205,-81,-538,525
-21546,918,-121,137,-70,135,155,-73,-529,522
-21539,1140,-156,164,-88,163,60,-79,-534,526
-21533,1162,-158,135,-35,-35,105,-75,-543,516
-21527,1171,-161,136,-101,-4,223,-66,-535,520
-21521,1097,-174,135,-57,60,315,-63,-538,528
-21514,1080,-199,171,-93,59,382,-48,-538,523
-21508,1075,-251,168,-74,94,430,-34,-531,516
-21502,962,-334,162,-137,-68,422,-16,-526,513
-21496,851,-300,210,-105,70,501,0,-514,507
-21489,785,-390,142,-156,7,412,21,-499,519
-21483,733,-411,111,-160,99,403,31,-508,505
-21477,668,-390,148,-106,-5,303,51,-507,513
-21471,734,-493,82,-79,0,160,54,-493,504
-21464,742,-480,72,-25,-41,109,63,-499,510
-21458,708,-512,64,-59,-191,28,51,-490,513
-21452,663,-478,56,14,23,-9,61,-501,514
-21446,660,-486,75,-11,9,-100,51,-492,514
-21439,703,-437,70,36,0,-182,43,-498,520
-21433,789,-470,91,46,-155,-273,37,-493,525
-21427,798,-410,136,56,-60,-270,27,-502,514
-21421,780,-406,85,12,19,-309,19,-505,516
-21414,849,-346,186,7,228,-305,10,-511,505
-21408,1004,-322,155,53,161,-349,3,-520,511
-21402,1059,-331,153,42,-104,-366,-18,-532,505
-21396,1078,-277,160,47,-21,-282,-27,-528,499
-21389,1063,-257,159,21,-25,-236,-40,-531,495
-21383,1094,-247,166,9,32,-175,-48,-525,516
-21377,984,-239,164,38,-123,-168,-37,-540,502
-21371,833,-207,157,59,-104,-195,-67,-538,511
-21364,948,-215,101,74,-238,-245,-67,-537,517
-21358,913,-188,139,91,-217,-211,-72,-538,523
-21352,912,-159,128,46,-59,-186,-82,-535,523
-21346,930,-160,126,54,-24,-210,-87,-534,519
-21339,992,-147,95,42,-68,-225,-103,-531,517
-21333,966,-86,95,10,-123,-226,-103,-543,529
-21327,1005,-48,86,35,-42,-242,-115,-537,532
-21321,1088,-71,85,23,13,-245,-130,-540,523
-21314,1144,-27,81,37,-26,-196,-124,-540,534
-21308,1054,-1,118,51,-91,-140,-141,-541,528
-21302,1051,-5,30,55,-63,-141,-138,-546,531
-21296,967,-6,119,56,-133,-175,-139,-535,532
-21289,1212,-13,150,4,-39,-106,-147,-538,535
-21283,1186,2,188,0,33,65,-144,-546,529
-21277,1065,22,114,-10,-23,25,-148,-546,523
-21271,1004,7,94,-18,-79,-36,-147,-556,538
-21264,987,6,61,-16,-146,-44,-153,-543,537
