timestamp,ACC X,ACC Y,ACC Z,GYR X,GYR Y,GYR Z,MAG X,MAG Y,MAG Z
-1883,969,-45,286,-7,-28,-2,-117,-576,436
-1877,976,-41,283,-8,-25,0,-115,-577,433
-1871,968,-43,280,-10,-25,4,-109,-561,430
-1864,969,-45,285,-7,-9,3,-126,-571,426
-1858,972,-45,285,-7,-18,0,-115,-574,432
-1852,974,-44,283,-8,-28,-1,-120,-561,429
-1846,971,-44,283,-9,-22,2,-115,-573,441
-1839,970,-43,282,-8,-20,4,-120,-571,430
-1833,972,-43,283,-8,-18,2,-120,-568,430
-1827,970,-42,284,-7,-15,5,-118,-577,439
-1821,978,-40,288,-9,-18,14,-118,-577,442
-1814,973,-46,288,-16,-33,25,-121,-571,432
-1808,970,-51,292,-10,-40,11,-114,-571,435
-1802,991,-45,284,-21,-101,-3,-114,-568,439
-1796,995,-40,291,-19,-94,8,-105,-559,441
-1789,1020,-42,286,-32,-146,5,-121,-574,444
-1783,1020,-38,288,-67,-247,-18,-115,-567,459
-1777,1142,-74,232,-91,-350,-25,-121,-565,465
-1771,912,-52,199,-72,-224,66,-124,-558,480
-1764,980,-63,114,-59,-141,58,-117,-568,484
-1758,1031,-48,137,-26,-43,81,-111,-555,484
-1752,1067,-70,156,-32,94,154,-115,-562,486
-1746,1133,-99,179,-21,29,198,-109,-558,489
-1739,1095,-106,216,-63,-89,188,-99,-555,492
-1733,1027,-115,194,-46,-95,249,-91,-561,486
-1727,905,-147,219,-52,-47,276,-88,-544,489
-1721,920,-171,163,-55,40,274,-67,-543,501
-1714,861,-191,181,-52,126,277,-57,-541,495
-1708,873,-205,178,-60,78,211,-51,-546,490
-1702,815,-228,181,-56,28,112,-45,-543,490
-1696,904,-223,184,-39,-95,5,-37,-540,483
-1689,908,-235,199,-24,-103,-37,-51,-543,483
-1683,889,-234,185,-40,-32,-41,-51,-543,486
-1677,940,-223,162,-32,-17,-45,-49,-537,487
-1671,960,-238,170,-32,-56,-69,-58,-537,490
-1664,973,-210,157,-17,-78,-68,-57,-540,493
-1658,1013,-215,178,-26,-38,-32,-63,-540,499
-1652,1021,-206,168,-23,23,-15,-64,-534,495
-1646,1048,-209,154,-30,-16,-7,-58,-540,492
-1639,1002,-207,166,-25,-36,7,-58,-541,490
-1633,975,-211,143,-13,-31,10,-52,-537,493
-1627,954,-214,165,-8,-11,29,-57,-540,484
-1621,978,-210,171,-8,-13,19,-61,-540,498
-1614,934,-221,176,-3,-36,0,-55,-538,495
-1608,945,-214,167,-4,-26,-5,-55,-540,498
-1602,976,-220,173,-16,0,0,-63,-538,495
-1596,941,-221,179,-14,-11,-7,-54,-541,496
-1589,950,-216,150,-21,-9,-23,-54,-537,499
-1583,928,-213,139,12,-3,-33,-64,-538,495
-1577,965,-189,133,10,-16,-32,-63,-534,498
-1571,912,-198,152,17,34,-32,-61,-543,493
-1564,868,-194,132,38,23,-83,-72,-538,492
-1558,779,-146,166,69,19,-135,-69,-547,490
-1552,735,-156,113,84,17,-232,-81,-552,480
-1546,770,-88,167,105,-51,-321,-81,-547,477
-1539,980,-131,203,147,-31,-466,-96,-558,480
-1533,1998,-42,564,91,-93,-177,-102,-552,480
-1527,977,-126,216,-126,-77,204,-103,-564,478
-1521,708,5,94,5,-133,-52,-112,-553,483
-1514,685,-47,108,65,-58,-94,-114,-556,489
-1508,1194,-109,163,-8,-12,36,-114,-562,483
-1502,1186,-102,251,-1,-35,14,-106,-561,489
-1496,985,-90,162,-28,-88,-33,-108,-555,484
-1489,860,-52,129,-4,-42,-26,-108,-558,498
-1483,994,-62,160,18,47,23,-112,-559,486
